stage,method,target_mode,seed,beta,H,omega_out,omega_in,s,gamma,N,n_steps,fr_every,target_ema_rate,score_clip,max_event_fraction,ess_window_steps,final_l2_f,final_l2_fp,int_l2_f,final_ess,n_die,n_clone,repl_fraction,n_fr_apply,cond_abserr_mean,cond_abserr_max
stage0_reproduce,abf,none,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21098452433692522,1.8404553625426316,10.454069462125599,256.0,0.0,0.0,0.0,0.0,0.004455263993275688,0.016052666658247436
stage0_reproduce,abf,none,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20774192376916226,1.8270178285319014,10.666543308835625,256.0,0.0,0.0,0.0,0.0,0.01707642409403331,0.061083215116594466
stage0_reproduce,abf,none,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2098197262630626,1.8169434887011469,11.123992596632444,256.0,0.0,0.0,0.0,0.0,0.017772104471076154,0.05823293712391796
stage0_reproduce,abf,none,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21387702875026976,1.8665620460533732,11.638552103297553,256.0,0.0,0.0,0.0,0.0,0.018928592740345477,0.07802626155216097
stage0_reproduce,abf,none,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.18474869456004442,1.7033235936572557,9.175158414032717,256.0,0.0,0.0,0.0,0.0,0.0038548365317734013,0.011466185726182757
stage0_reproduce,fr_estimated,estimated,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10602896776019097,1.206613347226788,6.812111350151623,24.0,11961.0,5777.0,0.017322265625,4000.0,0.02336844638203843,0.09671252775064278
stage0_reproduce,fr_estimated,estimated,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09057417942501687,1.0888655075140967,5.997323837115651,22.0,12069.0,5928.0,0.0175751953125,4000.0,0.01959950791606654,0.064832646256613
stage0_reproduce,fr_estimated,estimated,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09792983134223018,1.0667589567403037,6.381808415395596,26.0,12456.0,5780.0,0.01780859375,4000.0,0.02958784123502901,0.13260980332194072
stage0_reproduce,fr_estimated,estimated,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09535169939985151,1.0909627970849958,6.163445353918766,18.0,12120.0,5822.0,0.017521484375,4000.0,0.05220924818641763,0.2006634390973982
stage0_reproduce,fr_estimated,estimated,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09420586463476778,1.1110957032452535,6.288365213962784,24.0,11847.0,5751.0,0.017185546875,4000.0,0.02104904781953712,0.07401633902377905
stage0_reproduce,fr_oracle,oracle,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2687836878321821,2.227522647221389,11.837916076860845,26.0,4709.0,9134.0,0.0135185546875,4000.0,0.014545359555933316,0.034661583697906936
stage0_reproduce,fr_oracle,oracle,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2644695308923376,2.213971171576328,11.776111209993704,29.0,4615.0,9225.0,0.013515625,4000.0,0.011191141651565841,0.03223275623355981
stage0_reproduce,fr_oracle,oracle,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2734531923675044,2.244257485858275,12.225045179130177,25.0,4596.0,9341.0,0.013610351562500001,4000.0,0.0039414364769286446,0.01583228064600513
stage0_reproduce,fr_oracle,oracle,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.26180117202713277,2.208924110389493,11.43667065190397,23.0,4673.0,9714.0,0.0140498046875,4000.0,0.012110177401820455,0.03166514476252186
stage0_reproduce,fr_oracle,oracle,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.27679592798810754,2.247703183890854,12.448727013805442,25.0,4772.0,8983.0,0.0134326171875,4000.0,0.00564912104650335,0.022396076804104423
stage0_reproduce,fr_uniform,uniform,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1037823071431004,1.208830726447509,6.572277252088291,22.0,11794.0,5904.0,0.017283203125,4000.0,0.015698819130061152,0.050199485661766075
stage0_reproduce,fr_uniform,uniform,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10387874125617488,1.0944330545804335,6.4656023065875825,18.0,11652.0,5362.0,0.016615234375,4000.0,0.02061391684839086,0.04710071047999509
stage0_reproduce,fr_uniform,uniform,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10248838472050846,1.1949119024314243,6.476716512329823,27.0,11859.0,5709.0,0.01715625,4000.0,0.026780434774556362,0.11358395172388762
stage0_reproduce,fr_uniform,uniform,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09572813016317962,1.1039573976841912,5.963701945722797,20.0,11730.0,5667.0,0.016989257812500002,4000.0,0.01941299282490557,0.07306838403830368
stage0_reproduce,fr_uniform,uniform,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10820702169706875,1.2160263982683366,6.393162571046506,23.0,11928.0,5753.0,0.0172666015625,4000.0,0.04787528962880937,0.13504421993537125
stage1_seeds,abf,none,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21335700362235466,1.8661655225192386,10.502223367479171,256.0,0.0,0.0,0.0,0.0,0.01346024679952853,0.0495931626234732
stage1_seeds,abf,none,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2131760724991455,1.8213227975508666,10.826753168945723,256.0,0.0,0.0,0.0,0.0,0.021192778437226893,0.05494328316491347
stage1_seeds,abf,none,10,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.174855965151581,1.6660258603094533,8.74019243815157,256.0,0.0,0.0,0.0,0.0,0.008053405289274543,0.03231219412328734
stage1_seeds,abf,none,11,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20590353174186604,1.825211779721163,11.337516089106808,256.0,0.0,0.0,0.0,0.0,0.0062503545947125245,0.013370934315008035
stage1_seeds,abf,none,12,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.18844815907895135,1.7154616532986044,10.451397235287587,256.0,0.0,0.0,0.0,0.0,0.012908798798516526,0.05364145523059688
stage1_seeds,abf,none,13,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20791786303726867,1.8036230322805555,10.048819405003536,256.0,0.0,0.0,0.0,0.0,0.010281511823006764,0.029866287959574883
stage1_seeds,abf,none,14,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1981738283703872,1.7622782174075935,10.732582219494173,256.0,0.0,0.0,0.0,0.0,0.025614523504733606,0.10900209755506779
stage1_seeds,abf,none,15,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20464392511314675,1.8254192771198452,10.073961661811136,256.0,0.0,0.0,0.0,0.0,0.017145379296603334,0.04331812449684534
stage1_seeds,abf,none,16,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.18823359475278678,1.739640668550809,9.111118029426304,256.0,0.0,0.0,0.0,0.0,0.009699925106700197,0.02837838940610911
stage1_seeds,abf,none,17,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.19879262152565974,1.7765228666380553,9.954920735471354,256.0,0.0,0.0,0.0,0.0,0.013076858497688835,0.042820200273790535
stage1_seeds,abf,none,18,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.18531163290093092,1.7226254332065294,9.392034998288091,256.0,0.0,0.0,0.0,0.0,0.011708046060403769,0.043117949334979214
stage1_seeds,abf,none,19,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20822514871342257,1.8191252520919508,10.838477301769315,256.0,0.0,0.0,0.0,0.0,0.02248506806377256,0.09349007198832797
stage1_seeds,abf,none,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.17762415275527954,1.6618478276809243,8.71893165334642,256.0,0.0,0.0,0.0,0.0,0.01590177445825966,0.046127229285243196
stage1_seeds,abf,none,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.16413058481955198,1.563855291743876,9.340939907251759,256.0,0.0,0.0,0.0,0.0,0.016032984831572623,0.05687515509016619
stage1_seeds,abf,none,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2120183748870205,1.8206955973087149,10.710292324708409,256.0,0.0,0.0,0.0,0.0,0.031889492551287965,0.1507692478503707
stage1_seeds,abf,none,5,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21514229743507426,1.8964617158447157,10.520045323296358,256.0,0.0,0.0,0.0,0.0,0.011482830078942899,0.051273178174907036
stage1_seeds,abf,none,6,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1943731892202666,1.7645807041902783,9.927544867795579,256.0,0.0,0.0,0.0,0.0,0.020706631079188458,0.06019065220975155
stage1_seeds,abf,none,7,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20329968219753317,1.7955798838451358,10.374442038318831,256.0,0.0,0.0,0.0,0.0,0.020268620867364206,0.075908433990907
stage1_seeds,abf,none,8,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.17942025093641983,1.689803617491312,8.870870898579076,256.0,0.0,0.0,0.0,0.0,0.015148194543349525,0.040704122346789495
stage1_seeds,abf,none,9,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20907818652399418,1.813883852709875,11.021116425432176,256.0,0.0,0.0,0.0,0.0,0.023188510705096164,0.10589209287175184
stage1_seeds,fr_estimated,estimated,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1001300266379549,1.1804118744677112,6.335631693539544,22.0,11931.0,5763.0,0.017279296875,4000.0,0.014831701271062408,0.05454769244201353
stage1_seeds,fr_estimated,estimated,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.08941603195907033,1.0976723091172165,6.007376558193064,23.0,12121.0,5829.0,0.017529296875,4000.0,0.012650695946031137,0.055199615888421996
stage1_seeds,fr_estimated,estimated,10,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09628926116353881,1.1429993847810629,6.335830093294216,14.0,11984.0,5780.0,0.01734765625,4000.0,0.005869522130838374,0.026568006005899175
stage1_seeds,fr_estimated,estimated,11,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10364995298740698,1.1947116277552348,6.531740837945912,14.0,12165.0,5788.0,0.0175322265625,4000.0,0.0377231821672711,0.18042444975580485
stage1_seeds,fr_estimated,estimated,12,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10053548122932636,1.1591994259743008,6.583056820380913,16.0,12085.0,5611.0,0.01728125,4000.0,0.014183498932336678,0.06337817442478044
stage1_seeds,fr_estimated,estimated,13,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09615881579717618,1.0761750878463352,5.946523470272824,26.0,11924.0,5467.0,0.016983398437500002,4000.0,0.02836379837257061,0.1051199338388884
stage1_seeds,fr_estimated,estimated,14,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10093390684597536,1.1733056519752736,6.229416044539274,21.0,11896.0,5639.0,0.0171240234375,4000.0,0.013797168326660059,0.05021797922092812
stage1_seeds,fr_estimated,estimated,15,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10076386573164321,1.2015299288820929,6.253205341336141,18.0,11856.0,5582.0,0.017029296875,4000.0,0.03577755238097955,0.15637002283174067
stage1_seeds,fr_estimated,estimated,16,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09294453054155472,1.1361985852043683,5.888482443286234,17.0,12003.0,5775.0,0.017361328125,4000.0,0.019914715021619935,0.050133754563203445
stage1_seeds,fr_estimated,estimated,17,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09918414512015739,1.0981219178609645,6.241202583226488,21.0,12278.0,5498.0,0.017359375,4000.0,0.030909778674665996,0.08522729474952079
stage1_seeds,fr_estimated,estimated,18,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10211071922046537,1.2000983617377847,6.570321923633651,19.0,11828.0,5775.0,0.0171904296875,4000.0,0.0014030985009089354,0.0027991827974571254
stage1_seeds,fr_estimated,estimated,19,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1062419182021485,1.218057317232462,6.5690179838222615,15.0,12135.0,5732.0,0.0174482421875,4000.0,0.01748106318918713,0.07777859160378035
stage1_seeds,fr_estimated,estimated,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.11159230896198197,1.2546699406118367,6.880344250513219,22.0,12000.0,5535.0,0.0171240234375,4000.0,0.02857183157051659,0.13138877166324897
stage1_seeds,fr_estimated,estimated,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10209345962188049,1.1997294111135364,6.68768438424096,17.0,12044.0,5826.0,0.017451171875,4000.0,0.023691182423059235,0.09743359717116204
stage1_seeds,fr_estimated,estimated,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09450100360664627,1.066748561408561,6.094077546912113,19.0,12417.0,5590.0,0.0175849609375,4000.0,0.024892823120077397,0.08911316565859871
stage1_seeds,fr_estimated,estimated,5,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09532848995852944,1.0877385405794986,6.17513611362421,26.0,11981.0,5642.0,0.0172099609375,4000.0,0.0023834428388554655,0.007255063924869465
stage1_seeds,fr_estimated,estimated,6,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09512226116422634,1.0789721640293877,6.036028790185638,18.0,11831.0,5596.0,0.0170185546875,4000.0,0.022770411854026333,0.09650144328108302
stage1_seeds,fr_estimated,estimated,7,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.0967728824091007,1.1737346263689266,6.059836709857915,17.0,12016.0,5695.0,0.017295898437500002,4000.0,0.02141678869466339,0.09705467799654857
stage1_seeds,fr_estimated,estimated,8,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.08656397467977081,1.0441860517803934,5.678399838279792,23.0,12132.0,5745.0,0.0174580078125,4000.0,0.019332484782754043,0.0540433379452014
stage1_seeds,fr_estimated,estimated,9,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.0927025532345966,1.1175405991669072,5.821273569955882,17.0,11945.0,5816.0,0.0173447265625,4000.0,0.03032026203929048,0.08412739436735492
stage2_omega,abf,none,0,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.1953448409408198,1.7823851196244627,9.63976754340499,256.0,0.0,0.0,0.0,0.0,0.009209805999091028,0.022583456926980355
stage2_omega,abf,none,1,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21249743338659358,1.8433709369094788,10.422121450061844,256.0,0.0,0.0,0.0,0.0,0.02136411504723245,0.05407403721330238
stage2_omega,abf,none,2,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21266269938910595,1.8391119577420603,11.058595739519935,256.0,0.0,0.0,0.0,0.0,0.016596472620025796,0.022962094731864363
stage2_omega,abf,none,3,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.18732325382010245,1.7553926265231385,9.093748058872336,256.0,0.0,0.0,0.0,0.0,0.03005212699839015,0.09449159708676147
stage2_omega,abf,none,4,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.17838072690124895,1.6619199002194642,9.06733016722007,256.0,0.0,0.0,0.0,0.0,0.023485462213518965,0.06058873960659385
stage2_omega,abf,none,5,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.2147471071176937,1.866599526438243,10.26114182156281,256.0,0.0,0.0,0.0,0.0,0.01872888746011208,0.04888649645748107
stage2_omega,abf,none,6,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20322517075220178,1.7988187261025947,10.688654687045961,256.0,0.0,0.0,0.0,0.0,0.014463009596230841,0.054567032576429086
stage2_omega,abf,none,7,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20170398239202528,1.8338491608255756,10.669270197368979,256.0,0.0,0.0,0.0,0.0,0.011098759708662297,0.03391919700766208
stage2_omega,abf,none,8,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.1887472479122062,1.7524613020363113,9.427552287636653,256.0,0.0,0.0,0.0,0.0,0.011877207834040115,0.030211451505908787
stage2_omega,abf,none,9,8.0,2.5,1.0,10.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.2252449525536568,1.8848902990744745,11.942336097994772,256.0,0.0,0.0,0.0,0.0,0.018020780371897034,0.03503691729106989
stage2_omega,abf,none,0,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21737489440108493,1.906120177393138,11.50886649068995,256.0,0.0,0.0,0.0,0.0,0.04983126878174599,0.09593648424516513
stage2_omega,abf,none,1,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.1816131804414115,1.693789154546004,9.14185883007117,256.0,0.0,0.0,0.0,0.0,0.03679115138810466,0.0847433184380233
stage2_omega,abf,none,2,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20810419132093294,1.801806064111288,11.177089468143528,256.0,0.0,0.0,0.0,0.0,0.07124246253806467,0.16140257109436112
stage2_omega,abf,none,3,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.22067437037615156,1.8707670798722593,11.543922851408949,256.0,0.0,0.0,0.0,0.0,0.04182516223162767,0.10964570946270837
stage2_omega,abf,none,4,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.22873021091292547,1.898272622613976,12.150469648518927,256.0,0.0,0.0,0.0,0.0,0.03150427229525239,0.10710542372176124
stage2_omega,abf,none,5,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21320712978817355,1.86907723438262,11.02938085380568,256.0,0.0,0.0,0.0,0.0,0.04650592554797932,0.0939269898467186
stage2_omega,abf,none,6,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.19309034854619805,1.7632247923224567,9.880745935028209,256.0,0.0,0.0,0.0,0.0,0.057761768347170284,0.0993182358280629
stage2_omega,abf,none,7,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.1999929014417784,1.8103702855359785,10.190023976110481,256.0,0.0,0.0,0.0,0.0,0.03823836428762407,0.07535930067731189
stage2_omega,abf,none,8,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21384164754881477,1.8782411963980183,11.069197320198002,256.0,0.0,0.0,0.0,0.0,0.07385306552334944,0.1542132245323639
stage2_omega,abf,none,9,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.18203937031586948,1.718601173550543,9.374145725697137,256.0,0.0,0.0,0.0,0.0,0.028530478017700846,0.045861231731835345
stage2_omega,abf,none,0,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21356127687987092,1.8739318157272071,10.738628365304683,256.0,0.0,0.0,0.0,0.0,0.018197618217180068,0.04976889236792632
stage2_omega,abf,none,1,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.22046684001138778,1.9116717627772943,11.332985719108734,256.0,0.0,0.0,0.0,0.0,0.005347778917415164,0.018599178491434568
stage2_omega,abf,none,2,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.2111511668324125,1.8633992705449889,10.527046296820636,256.0,0.0,0.0,0.0,0.0,0.012421630152699044,0.04083372886056515
stage2_omega,abf,none,3,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21148887401347824,1.861247134792291,10.866755348330209,256.0,0.0,0.0,0.0,0.0,0.018789264561268233,0.0827135044352766
stage2_omega,abf,none,4,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21399678391366467,1.8620638041575506,10.732779390537551,256.0,0.0,0.0,0.0,0.0,0.016740836772235847,0.0657610842516747
stage2_omega,abf,none,5,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.21450747175067345,1.8674273790959144,11.088532600399244,256.0,0.0,0.0,0.0,0.0,0.014523247849838569,0.03824836558182125
stage2_omega,abf,none,6,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.19296243751079478,1.7695573378395069,9.863893220938792,256.0,0.0,0.0,0.0,0.0,0.02029451706664391,0.09336117712288629
stage2_omega,abf,none,7,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.18740697051987668,1.7336680798922575,8.997149879078329,256.0,0.0,0.0,0.0,0.0,0.017220569515806677,0.03813698066995212
stage2_omega,abf,none,8,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.19090067352072942,1.7683494544789293,9.982630319496387,256.0,0.0,0.0,0.0,0.0,0.01138603570467535,0.03343494442327369
stage2_omega,abf,none,9,8.0,2.5,1.0,25.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.17685945207366083,1.6654426971298744,8.95731051350681,256.0,0.0,0.0,0.0,0.0,0.0024998743682047705,0.005173569531515099
stage2_omega,abf,none,0,8.0,2.5,1.0,50.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20665932847484358,1.8162118379581227,10.772951372763512,256.0,0.0,0.0,0.0,0.0,0.021744325153716416,0.07143829725744064
stage2_omega,abf,none,1,8.0,2.5,1.0,50.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20667712671678398,1.8354182693840424,10.663054948825923,256.0,0.0,0.0,0.0,0.0,0.009513625821606433,0.039160445705765115
stage2_omega,abf,none,2,8.0,2.5,1.0,50.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20951894677864033,1.7935219239774987,11.462072342834603,256.0,0.0,0.0,0.0,0.0,0.013748984876128911,0.05987373892719722
stage2_omega,abf,none,3,8.0,2.5,1.0,50.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.23059019998324692,1.9278031469309094,11.94852938730493,256.0,0.0,0.0,0.0,0.0,0.006211208080009591,0.02573248264663601
stage2_omega,abf,none,4,8.0,2.5,1.0,50.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.16875254772176135,1.5976316540721123,8.163544357594226,256.0,0.0,0.0,0.0,0.0,0.01768336575935415,0.0759060159283899
stage2_omega,abf,none,5,8.0,2.5,1.0,50.0,0.25,15.0,256,100000,10,0.005,3.0,0.08,4000,0.20990403712053823,1.8321782853501685,10.400606385051898,256.0,0.0,0.0,0.0,0.0,0.014068776197732186,0.04327638330081268
